 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%
300,Shaq Thompson,31,BUF,OLB,7,2,0,17,15,88.2,87,5.8,5.1,0,88,2.3,27,60,9,0,1,0,1,2,32,2,5.9
301,Terrion Arnold,22,DET,CB,8,7,1,38,24,63.2,330,13.8,8.7,2,97.5,13.9,250,80,1,0,0,0,0,0,31,4,11.4
302,JD Bertrand,25,ATL,LB,11,2,0,15,12,80,150,12.5,10,1,130.6,5.2,59,91,3,0,0,0,0,0,31,4,11.4
303,Tyler Davis,25,LAR,DE,11,0,0,1,1,100,2,2,2,0,79.2,-8,-8,10,0,3,0,2,1,4,31,0,0
304,YaYa Diaby,26,TAM,OLB,11,11,0,6,6,100,58,9.7,9.7,0,106.9,-0.2,-1,59,20,6,6,0,5,17,31,4,11.4
305,T.J. Edwards,29,CHI,LB,5,5,0,22,13,59.1,170,13.1,7.7,2,113.8,5,69,101,8,0,0,0,0,0,31,1,3.1
306,Jonathan Greenard,28,MIN,OLB,9,9,0,6,6,100,29,4.8,4.8,0,86.8,-2.3,-14,43,21,9,7,1,2,18,31,6,16.2
307,Cam Hart,25,LAC,CB,10,3,0,45,28,62.2,372,13.3,8.3,2,103.2,10.3,269,103,2,0,1,0,0,1,31,2,6.1
308,Jaden Hicks,23,KAN,DB,12,2,0,21,17,81,139,8.2,6.6,2,126,5.2,50,89,3,0,0,0,0,0,31,5,13.9
309,D'Marco Jackson,27,CHI,LB,11,2,0,6,5,83.3,27,5.4,4.5,0,85.4,1,1,26,1,0,0,0,0,0,31,0,0
310,Laiatu Latu,24,IND,DE,10,10,3,8,7,87.5,35,5,4.4,1,84.9,-1.6,-6,41,11,5,7,1,5.5,19,31,7,18.4
311,Max Melton,23,ARI,CB,9,8,0,45,28,62.2,354,12.6,7.9,1,94.1,12.6,264,90,1,0,0,0,0,0,31,7,18.4
312,Kenny Moore,30,IND,CB,8,4,1,54,31,57.4,352,11.4,6.5,2,81.7,6.7,159,193,17,0,0,0,1.5,2,31,6,16.2
313,Sam Okuayinonu,27,SFO,DL,12,9,0,1,1,100,1,1,1,0,79.2,-5,-5,6,1,2,2,0,2,6,31,1,3.1
314,Nathan Shepherd,32,NOR,DT,11,6,0,1,0,0,0,0,0,39.6,-1,0,0,0,2,4,0,2,8,31,1,3.1,ShepNa00
315,Danny Stutsman,22,NOR,LB,11,0,0,3,3,100,23,7.7,7.7,0,98.6,4,12,11,2,0,0,0,0,0,31,1,3.1
316,Dre'Mont Jones,28,2TM,OLB,13,13,0,2,2,100,12,6,6,0,91.7,-2.5,-5,17,8,3,8,1,6,18,31,0,0
317,Dre'Mont Jones,28,TEN,OLB,9,9,0,1,1,100,5,5,5,0,87.5,-2,-2,7,8,1,4,0,4.5,10,26,0,0
318,Dre'Mont Jones,28,BAL,DE,4,4,0,1,1,100,7,7,7,0,95.8,-3,-3,10,0,2,4,1,1.5,8,5,0,0
319,Jamal Adams,30,LVR,LB,11,2,0,22,20,90.9,118,5.9,5.4,0,89,0.2,-7,125,20,2,1,0,1,4,30,6,16.7
320,Calais Campbell,39,ARI,DL,11,11,0,0,0,0,0,0,0,0,2,7,1,5.5,15,30,4,11.8,CampCa99,,,,
321,Bradley Chubb,29,MIA,LB,11,11,0,4,2,50,55,27.5,13.8,0,95.8,2,5,50,13,1,7,0,5,13,30,5,14.3
322,Quandre Diggs,32,TEN,FS,9,4,0,13,9,69.2,153,17,11.8,2,148.4,8.6,113,40,3,0,0,0,0,0,30,3,9.1
323,Arnold Ebiketie,26,ATL,DE,11,3,0,2,2,100,0,0,0,0,79.2,-2,-4,4,14,4,3,0,1,8,30,3,9.1
