 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%,,
231,Darious Williams,30,JAX,LCB,17,17,4,100,55,55,624,11.3,6.2,2,63.9,10.8,427,197,1,0,1,0,0,1,53,10,15.9,WillDa09,
232,Riq Woolen,24,SEA,CB,16,15,2,71,41,57.7,384,9.4,5.4,4,79.8,9.2,258,126,1,0,0,0,0,0,53,9,14.5,WoolTa00,
233,Marco Wilson,24,2TM,RCB,16,11,0,65,47,72.3,727,15.5,11.2,5,134.6,11.9,547,180,1,0,0,0,0,0,53,6,10.2,WilsMa04,
233,Marco Wilson,24,ARI,RCB,15,11,0,64,47,73.4,727,15.5,11.4,5,136.7,11.7,547,180,1,0,0,0,0,0,52,6,10.3,WilsMa04,
233,Marco Wilson,24,NWE,CB,1,0,0,1,0,0,0,0,0,39.6,25,0,0,0,0,0,0,0,0,1,0,0,WilsMa04,,
234,Kareem Jackson,35,2TM,SS,10,8,2,25,16,64,233,14.6,9.3,2,87.6,8.6,176,57,1,0,0,0,0,0,53,5,8.6,JackKa99,
234,Kareem Jackson,35,DEN,SS,8,8,2,24,16,66.7,215,13.4,9,2,88,8.3,160,55,1,0,0,0,0,0,51,4,7.3,JackKa99,
234,Kareem Jackson,35,HOU,CB,2,0,0,1,0,0,18,18,0,79.2,16,16,2,0,0,0,0,0,0,2,1,33.3,JackKa99,,
235,Shaquil Barrett,31,TAM,LOLB,16,16,1,18,14,77.8,106,7.6,5.9,0,68.1,3.3,38,68,34,6,8,1,4.5,19,52,4,7.1,BarrSh00,
236,Carlton Davis,26,TAM,RCB,12,12,2,83,51,61.4,732,14.4,8.8,4,96.1,9.8,506,226,2,0,0,0,0,0,52,4,7.1,DaviCa02,
237,Jonathan Greenard,26,HOU,RDE,15,15,0,3,2,66.7,0,0,0,0,70.1,-4.3,-9,9,18,9,9,2,12.5,32,52,5,8.8,GreeJo04,
238,Talanoa Hufanga,24,SFO,S,10,10,3,19,13,68.4,105,8.1,5.5,1,60.1,6.5,71,34,9,1,1,0,0,2,52,3,5.5,HufaTa00,
239,Jourdan Lewis,28,DAL,CB,16,8,1,71,44,62,464,10.5,6.5,4,93.9,6.6,225,239,7,0,0,0,0,0,52,5,8.8,LewiJo01,
240,Boye Mafe,25,SEA,LB,16,16,0,8,6,75,111,18.5,13.9,1,156.2,2.6,12,99,14,8,8,5,9,25,52,3,5.5,MafeBo00,
241,Kwity Paye,25,IND,DE,16,16,0,4,2,50,21,10.5,5.3,0,65.6,-3.3,-7,28,4,6,2,0,8.5,17,52,0,0,PayeKw00,
242,Travon Walker,23,JAX,OLB,17,17,0,10,9,90,54,6,5.4,0,89.2,1.8,8,46,49,11,7,1,10,30,52,8,13.3,WalkTr03,
